seedResourceAcquisitionFitness,seedResilience,seedMutationProbability,trials,seedSurvivalChance,error
1.2,0.7,0.06,10,0.4,0.5034623572199812
1.2,0.7,0.08,10,0.4,0.5034623572199812
1.2,0.7,0.1,8,0.375,0.5989831067446593
1.2,0.8,0.0,10,0.7,0.4709459119636909
1.2,0.8,0.02,10,0.4,0.5034623572199812
1.2,0.8,0.04,10,0.6,0.5034623572199812
1.2,0.8,0.06,10,0.3,0.47094591196369084
1.2,0.8,0.08,10,0.5,0.5138441166199101
1.2,0.8,0.1,9,0.1111111111111111,0.3514988348878925
1.2,0.9,0.0,10,0.8,0.41107529329592807
1.2,0.9,0.02,10,0.5,0.5138441166199101
1.2,0.9,0.04,10,0.3,0.47094591196369084
1.2,0.9,0.06,9,0.4444444444444444,0.5557684565705981
1.2,0.9,0.08,10,0.6,0.5034623572199812
1.2,0.9,0.1,9,0.3333333333333333,0.5272482523318388
1.2,1.0,0.0,10,0.7,0.4709459119636909
1.2,1.0,0.02,9,0.5555555555555556,0.5557684565705981
1.2,1.0,0.04,10,0.4,0.5034623572199812
1.2,1.0,0.06,10,0.4,0.5034623572199812
1.2,1.0,0.08,10,0.6,0.5034623572199812
1.2,1.0,0.1,10,0.3,0.47094591196369084
1.4,0.0,0.0,10,0.1,0.30830646997194605
1.4,0.0,0.02,10,0.5,0.5138441166199101
1.4,0.0,0.04,10,0.2,0.4110752932959281
1.4,0.0,0.06,10,0.6,0.5034623572199812
1.4,0.0,0.08,10,0.3,0.47094591196369084
1.4,0.0,0.1,10,0.6,0.5034623572199812
1.4,0.1,0.0,10,0.6,0.5034623572199812
1.4,0.1,0.02,10,0.5,0.5138441166199101
1.4,0.1,0.04,10,0.5,0.5138441166199101
1.4,0.1,0.06,10,0.4,0.5034623572199812
1.4,0.1,0.08,10,0.5,0.5138441166199101
1.4,0.1,0.1,10,0.4,0.5034623572199812
1.4,0.2,0.0,10,0.2,0.4110752932959281
1.4,0.2,0.02,10,0.6,0.5034623572199812
1.4,0.2,0.04,10,0.5,0.5138441166199101
1.4,0.2,0.06,10,0.4,0.5034623572199812
1.4,0.2,0.08,9,0.2222222222222222,0.4649892516211589
1.4,0.2,0.1,10,0.3,0.47094591196369084
1.4,0.3,0.0,10,0.6,0.5034623572199812
1.4,0.3,0.02,10,0.7,0.4709459119636909
1.4,0.3,0.04,10,0.5,0.5138441166199101
1.4,0.3,0.06,10,0.2,0.4110752932959281
1.4,0.3,0.08,10,0.3,0.47094591196369084
1.4,0.3,0.1,10,0.5,0.5138441166199101
1.4,0.4,0.0,10,0.2,0.4110752932959281
1.4,0.4,0.02,10,0.4,0.5034623572199812
1.4,0.4,0.04,10,0.6,0.5034623572199812
1.4,0.4,0.06,10,0.5,0.5138441166199101
1.4,0.4,0.08,10,0.4,0.5034623572199812
1.4,0.4,0.1,10,0.4,0.5034623572199812
1.4,0.5,0.0,10,0.3,0.47094591196369084
1.4,0.5,0.02,10,0.4,0.5034623572199812
1.4,0.5,0.04,10,0.4,0.5034623572199812
1.4,0.5,0.06,10,0.5,0.5138441166199101
1.4,0.5,0.08,10,0.4,0.5034623572199812
1.4,0.5,0.1,10,0.7,0.4709459119636909
1.4,0.6,0.0,10,0.5,0.5138441166199101
1.4,0.6,0.02,10,0.4,0.5034623572199812
1.4,0.6,0.04,10,0.5,0.5138441166199101
1.4,0.6,0.06,10,0.7,0.4709459119636909
1.4,0.6,0.08,10,0.7,0.4709459119636909
1.4,0.6,0.1,10,0.7,0.4709459119636909
1.4,0.7,0.0,10,0.7,0.4709459119636909
1.4,0.7,0.02,10,0.6,0.5034623572199812
1.4,0.7,0.04,10,0.5,0.5138441166199101
1.4,0.7,0.06,10,0.7,0.4709459119636909
1.4,0.7,0.08,10,0.6,0.5034623572199812
1.4,0.7,0.1,10,0.5,0.5138441166199101
1.4,0.8,0.0,10,0.7,0.4709459119636909
1.4,0.8,0.02,10,0.5,0.5138441166199101
1.4,0.8,0.04,10,0.6,0.5034623572199812
1.4,0.8,0.06,10,0.5,0.5138441166199101
1.4,0.8,0.08,10,0.6,0.5034623572199812
1.4,0.8,0.1,10,0.2,0.4110752932959281
1.4,0.9,0.0,10,0.7,0.4709459119636909
1.4,0.9,0.02,10,0.7,0.4709459119636909
1.4,0.9,0.04,10,0.8,0.41107529329592807
1.4,0.9,0.06,10,0.5,0.5138441166199101
1.4,0.9,0.08,10,0.4,0.5034623572199812
1.4,0.9,0.1,10,0.6,0.5034623572199812
1.4,1.0,0.0,10,0.8,0.41107529329592807
1.4,1.0,0.02,10,0.8,0.41107529329592807
1.4,1.0,0.04,10,0.8,0.41107529329592807
1.4,1.0,0.06,10,0.6,0.5034623572199812
1.4,1.0,0.08,10,0.5,0.5138441166199101
1.4,1.0,0.1,10,0.5,0.5138441166199101
1.6,0.0,0.0,10,0.7,0.4709459119636909
1.6,0.0,0.02,10,0.8,0.41107529329592807
1.6,0.0,0.04,10,0.6,0.5034623572199812
1.6,0.0,0.06,10,0.8,0.41107529329592807
1.6,0.0,0.08,10,0.3,0.47094591196369084
1.6,0.0,0.1,10,0.5,0.5138441166199101
1.6,0.1,0.0,10,0.6,0.5034623572199812
1.6,0.1,0.02,10,0.7,0.4709459119636909
1.6,0.1,0.04,10,0.6,0.5034623572199812
1.6,0.1,0.06,10,0.7,0.4709459119636909
1.6,0.1,0.08,10,0.7,0.4709459119636909
1.6,0.1,0.1,10,0.6,0.5034623572199812
1.6,0.2,0.0,10,0.3,0.47094591196369084
1.6,0.2,0.02,10,0.3,0.47094591196369084
1.6,0.2,0.04,10,0.5,0.5138441166199101
1.6,0.2,0.06,10,0.6,0.5034623572199812
1.6,0.2,0.08,10,0.6,0.5034623572199812
1.6,0.2,0.1,10,0.5,0.5138441166199101
1.6,0.3,0.0,10,0.6,0.5034623572199812
1.6,0.3,0.02,10,0.8,0.41107529329592807
1.6,0.3,0.04,10,0.8,0.41107529329592807
